product_type,variant,sku,product_price,actual_drop_date,drop_month,print,season,drop_time_holiday,print_gender,product_gender,main_color,designcat,designelement,returning_cohort,first_time_cohort,returning_sales,first_time_sales,rc_total,ft_total,rc_sales_total,ft_sales_total,order_quantity,confidence_score,sold_amount_14,sold_amount_30,sold_amount_45,sold_amount_60,sold_amount_75,sold_amount_90,sellout_flg,marketing_spend_drop,marketing_flag,convertible_romper_in_drop,pajama_set_in_drop,romper_in_drop,footie_in_drop,prints_in_drop,corrected_order_amt,total_sales_drop,proportion,order_proportion
Baby Dress,12 - 18 Months,11816,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,1494,1412,3358.0,2081.0,12844,20051,113266.0,68191.0,45,B,43.0,43.0,43.0,43.0,44.0,44.0,1,112.9428888888889,1,0,0,1,1,2,90,2791.0,0.015764958796130418,0.01584507042253521
Romper,18 - 24 Months,11811,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,1521,943,3465.0,1345.0,12844,20051,113266.0,68191.0,105,B,49.0,71.0,89.0,101.0,111.0,111.0,0,112.9428888888889,1,0,0,1,1,2,105,2791.0,0.03977069150841992,0.03697183098591549
Jogger Set,9/10Y,11839,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,289,195,551.0,234.0,12844,20051,113266.0,68191.0,20,B,1.0,2.0,2.0,2.0,5.0,6.0,0,112.9428888888889,1,0,1,0,0,2,20,2791.0,0.002149767108563239,0.007042253521126761
Mom Pants,M,11841,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Adult Wear - Women,Orange,Butterflies,Animals,528,151,778.0,159.0,12844,20051,113266.0,68191.0,35,B,29.0,34.0,34.0,34.0,35.0,34.0,0,112.9428888888889,1,0,0,0,0,2,35,2791.0,0.012182013615191688,0.01232394366197183
Jogger Set,5/6Y,11837,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,830,510,1522.0,641.0,12844,20051,113266.0,68191.0,20,B,18.0,18.0,17.0,17.0,19.0,19.0,0,112.9428888888889,1,0,1,0,0,2,20,2791.0,0.00680759584378359,0.007042253521126761
Footie,Newborn,11798,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,208,434,313.0,538.0,12844,20051,113266.0,68191.0,60,B,22.0,33.0,39.0,43.0,54.0,62.0,0,112.9428888888889,1,0,0,0,1,2,60,2791.0,0.022214260121820137,0.02112676056338028
Jogger Set,4T,11836,52.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,1040,429,2059.0,552.0,12844,20051,113266.0,68191.0,35,B,16.0,22.0,25.0,25.0,30.0,30.0,0,112.9428888888889,1,0,1,0,0,2,35,2791.0,0.010748835542816195,0.01232394366197183
Jogger Set,7/8Y,11838,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,515,368,1015.0,463.0,12844,20051,113266.0,68191.0,20,B,6.0,9.0,10.0,11.0,16.0,18.0,0,112.9428888888889,1,0,1,0,0,2,20,2791.0,0.006449301325689717,0.007042253521126761
Baby Dress,6 - 12 Months,11815,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,594,303,916.0,329.0,12844,20051,113266.0,68191.0,55,B,54.0,53.0,53.0,53.0,54.0,54.0,1,112.9428888888889,1,0,0,0,0,2,110,2791.0,0.01934790397706915,0.01936619718309859
Baby Dress,0 - 3 Months,11813,38.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Girl,Orange,Butterflies,Animals,502,1165,785.0,1606.0,12844,20051,113266.0,68191.0,25,B,10.0,14.0,14.0,15.0,23.0,26.0,0,112.9428888888889,1,0,0,1,1,2,25,2791.0,0.009315657470440702,0.008802816901408451
Romper,6 - 9 Months,11808,36.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,731,1379,1414.0,1975.0,12844,20051,113266.0,68191.0,105,B,39.0,60.0,72.0,77.0,101.0,110.0,0,112.9428888888889,1,0,0,1,1,2,105,2791.0,0.039412396990326046,0.03697183098591549
Jogger Set,3T,11835,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1198,418,2476.0,508.0,12844,20051,113266.0,68191.0,50,B,40.0,49.0,49.0,49.0,49.0,49.0,0,112.9428888888889,1,0,1,0,0,2,50,2791.0,0.017556431386599784,0.017605633802816902
Toddler Dress,7/8Y,11829,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,515,368,1015.0,463.0,12844,20051,113266.0,68191.0,20,B,18.0,18.0,18.0,18.0,19.0,19.0,0,112.9428888888889,1,0,1,0,0,2,20,2791.0,0.00680759584378359,0.007042253521126761
Footie,12 - 18 Months,11803,36.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1494,1412,3358.0,2081.0,12844,20051,113266.0,68191.0,125,B,43.0,75.0,91.0,95.0,131.0,131.0,0,112.9428888888889,1,0,0,1,1,2,125,2791.0,0.04693658187029739,0.04401408450704225
Jogger Set,18 - 24 Months,11833,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1521,943,3465.0,1345.0,12844,20051,113266.0,68191.0,25,B,24.0,23.0,23.0,23.0,24.0,24.0,1,112.9428888888889,1,0,0,1,1,2,50,2791.0,0.008599068434252956,0.008802816901408451
Baby Dress,18 - 24 Months,11817,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,1521,943,3465.0,1345.0,12844,20051,113266.0,68191.0,45,B,42.0,42.0,42.0,42.0,44.0,43.0,0,112.9428888888889,1,0,0,1,1,2,45,2791.0,0.015406664278036546,0.01584507042253521
Romper,12 - 18 Months,11810,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,1494,1412,3358.0,2081.0,12844,20051,113266.0,68191.0,135,B,67.0,98.0,115.0,120.0,133.0,133.0,0,112.9428888888889,1,0,0,1,1,2,135,2791.0,0.04765317090648513,0.04753521126760563
Mom Pants,S,11840,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Adult Wear - Women,Orange,Butterflies,Animals,426,140,690.0,155.0,12844,20051,113266.0,68191.0,25,B,20.0,24.0,25.0,25.0,25.0,25.0,0,112.9428888888889,1,0,0,0,0,2,25,2791.0,0.00895736295234683,0.008802816901408451
Footie,0 - 3 Months,11799,36.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,502,1165,785.0,1606.0,12844,20051,113266.0,68191.0,125,B,62.0,99.0,110.0,121.0,122.0,122.0,0,112.9428888888889,1,0,0,1,1,2,125,2791.0,0.04371193120745252,0.04401408450704225
Romper,2T,11812,36.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1970,796,4967.0,1108.0,12844,20051,113266.0,68191.0,60,B,33.0,51.0,58.0,57.0,58.0,58.0,0,112.9428888888889,1,0,1,1,1,2,60,2791.0,0.020781082049444642,0.02112676056338028
Mom Pants,XL,11843,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Adult Wear - Women,Orange,Butterflies,Animals,447,137,667.0,159.0,12844,20051,113266.0,68191.0,30,B,20.0,25.0,28.0,29.0,33.0,37.0,0,112.9428888888889,1,0,0,0,0,2,30,2791.0,0.013256897169473307,0.01056338028169014
Baby Dress,3 - 6 Months,11814,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,843,1744,1597.0,2572.0,12844,20051,113266.0,68191.0,50,B,29.0,38.0,40.0,42.0,51.0,53.0,0,112.9428888888889,1,0,0,1,1,2,50,2791.0,0.01898960945897528,0.017605633802816902
Pajama Set,3T,11820,39.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1198,418,2476.0,508.0,12844,20051,113266.0,68191.0,110,B,41.0,67.0,75.0,86.0,109.0,110.0,0,112.9428888888889,1,0,1,0,0,2,110,2791.0,0.039412396990326046,0.03873239436619718
Toddler Dress,5/6Y,11828,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,830,510,1522.0,641.0,12844,20051,113266.0,68191.0,20,B,21.0,21.0,21.0,21.0,22.0,21.0,1,112.9428888888889,1,0,1,0,0,2,40,2791.0,0.007524184879971337,0.007042253521126761
Pajama Set,9/10Y,11824,39.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,289,195,551.0,234.0,12844,20051,113266.0,68191.0,35,B,9.0,12.0,14.0,14.0,19.0,20.0,0,112.9428888888889,1,0,1,0,0,2,35,2791.0,0.007165890361877463,0.01232394366197183
Romper,3 - 6 Months,11807,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,843,1744,1597.0,2572.0,12844,20051,113266.0,68191.0,85,B,35.0,47.0,57.0,58.0,78.0,91.0,0,112.9428888888889,1,0,0,1,1,2,85,2791.0,0.032604801146542454,0.02992957746478873
Jogger Set,2T,11834,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1970,796,4967.0,1108.0,12844,20051,113266.0,68191.0,50,B,42.0,47.0,46.0,46.0,47.0,47.0,0,112.9428888888889,1,0,1,1,1,2,50,2791.0,0.01683984235041204,0.017605633802816902
Pajama Set,4T,11821,39.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1040,429,2059.0,552.0,12844,20051,113266.0,68191.0,100,B,33.0,46.0,52.0,60.0,78.0,87.0,0,112.9428888888889,1,0,1,0,0,2,100,2791.0,0.031171623074166967,0.035211267605633804
Footie,3 - 6 Months,11800,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,843,1744,1597.0,2572.0,12844,20051,113266.0,68191.0,165,B,44.0,79.0,96.0,101.0,154.0,159.0,0,112.9428888888889,1,0,0,1,1,2,165,2791.0,0.05696882837692583,0.058098591549295774
Mom Pants,L,11842,38.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Adult Wear - Women,Orange,Butterflies,Animals,506,162,707.0,180.0,12844,20051,113266.0,68191.0,35,B,15.0,21.0,25.0,26.0,36.0,36.0,0,112.9428888888889,1,0,0,0,0,2,35,2791.0,0.012898602651379433,0.01232394366197183
Mom Pants,2XL,11844,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Adult Wear - Women,Orange,Butterflies,Animals,318,118,470.0,124.0,12844,20051,113266.0,68191.0,20,B,13.0,15.0,16.0,17.0,25.0,26.0,0,112.9428888888889,1,0,0,0,0,2,20,2791.0,0.009315657470440702,0.007042253521126761
Footie,6 - 9 Months,11801,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,731,1379,1414.0,1975.0,12844,20051,113266.0,68191.0,150,B,44.0,72.0,86.0,95.0,133.0,156.0,0,112.9428888888889,1,0,0,1,1,2,150,2791.0,0.05589394482264421,0.0528169014084507
Toddler Dress,4T,11827,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,1040,429,2059.0,552.0,12844,20051,113266.0,68191.0,20,B,14.0,14.0,14.0,14.0,15.0,15.0,0,112.9428888888889,1,0,1,0,0,2,20,2791.0,0.005374417771408097,0.007042253521126761
Footie,9 - 12 Months,11802,36.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,864,1273,1647.0,1854.0,12844,20051,113266.0,68191.0,140,B,47.0,84.0,95.0,102.0,141.0,141.0,0,112.9428888888889,1,0,0,1,1,2,140,2791.0,0.050519527051236114,0.04929577464788732
Toddler Dress,2T,11825,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,1970,796,4967.0,1108.0,12844,20051,113266.0,68191.0,20,B,20.0,19.0,18.0,18.0,20.0,20.0,1,112.9428888888889,1,0,1,1,1,2,40,2791.0,0.007165890361877463,0.007042253521126761
Baby Dress,2T,11818,38.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,1970,796,4967.0,1108.0,12844,20051,113266.0,68191.0,35,B,36.0,36.0,36.0,36.0,37.0,37.0,1,112.9428888888889,1,0,1,1,1,2,70,2791.0,0.013256897169473307,0.01232394366197183
Convertible Romper,2T,13461,36.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,2103,1336,4268.0,1690.0,15336,26325,120381.0,86853.0,150,C,79.0,83.0,91.0,105.0,114.0,121.0,0,,0,1,1,0,0,7,150,1878.0,0.06443024494142705,0.0684931506849315
Convertible Romper,12 - 18 Months,13459,36.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,1703,1988,3335.0,2832.0,15336,26325,120381.0,86853.0,210,C,207.0,203.0,203.0,204.0,207.0,206.0,1,,0,1,0,0,0,7,420,1878.0,0.10969116080937168,0.0958904109589041
Pajama Set,2T,13463,39.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,2103,1336,4268.0,1690.0,15336,26325,120381.0,86853.0,180,C,111.0,115.0,123.0,133.0,144.0,144.0,0,,0,1,1,0,0,7,180,1878.0,0.07667731629392971,0.0821917808219178
Convertible Romper,3 - 6 Months,13456,36.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,919,1982,1541.0,2789.0,15336,26325,120381.0,86853.0,240,C,186.0,225.0,225.0,224.0,223.0,223.0,0,,0,1,0,0,0,7,240,1878.0,0.1187433439829606,0.1095890410958904
Pajama Set,5/6Y,13466,39.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,978,1055,1662.0,1226.0,15336,26325,120381.0,86853.0,120,C,93.0,96.0,102.0,110.0,116.0,116.0,0,,0,0,1,0,0,7,120,1878.0,0.0617678381256656,0.0547945205479452
Convertible Romper,0 - 3 Months,13455,36.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,538,1368,811.0,1843.0,15336,26325,120381.0,86853.0,130,C,130.0,127.0,127.0,127.0,127.0,127.0,1,,0,1,0,0,0,7,260,1878.0,0.06762513312034078,0.0593607305936073
Convertible Romper,3T,13462,36.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,1411,863,2528.0,1015.0,15336,26325,120381.0,86853.0,100,C,50.0,53.0,56.0,61.0,67.0,68.0,0,,0,1,1,0,0,7,100,1878.0,0.0362087326943557,0.045662100456621
Pajama Set,9/10Y,13468,39.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,357,415,609.0,524.0,15336,26325,120381.0,86853.0,70,C,15.0,17.0,17.0,21.0,25.0,25.0,0,,0,0,1,0,0,7,70,1878.0,0.013312034078807242,0.0319634703196347
Convertible Romper,6 - 9 Months,13457,36.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,869,1808,1490.0,2433.0,15336,26325,120381.0,86853.0,210,C,165.0,188.0,188.0,187.0,188.0,188.0,0,,0,1,0,0,0,7,210,1878.0,0.10010649627263046,0.0958904109589041
Pajama Set,4T,13465,39.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,1160,912,2053.0,1075.0,15336,26325,120381.0,86853.0,170,C,97.0,101.0,108.0,118.0,128.0,129.0,0,,0,0,1,0,0,7,170,1878.0,0.06869009584664537,0.0776255707762557
Pajama Set,7/8Y,13467,39.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,601,705,1039.0,842.0,15336,26325,120381.0,86853.0,90,C,33.0,35.0,39.0,44.0,51.0,53.0,0,,0,0,1,0,0,7,90,1878.0,0.028221512247071354,0.0410958904109589
Pajama Set,3T,13464,39.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,1411,863,2528.0,1015.0,15336,26325,120381.0,86853.0,180,C,102.0,106.0,112.0,126.0,137.0,142.0,0,,0,1,1,0,0,7,180,1878.0,0.07561235356762513,0.0821917808219178
Convertible Romper,9 - 12 Months,13458,36.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,1026,1805,1677.0,2526.0,15336,26325,120381.0,86853.0,200,C,160.0,178.0,192.0,191.0,194.0,194.0,0,,0,1,0,0,0,7,200,1878.0,0.1033013844515442,0.091324200913242
Convertible Romper,18 - 24 Months,13460,36.0,2023-11-22,11,Flamingo,Winter,Regular,Girl,Neutral,Pink,Solids,Solids,1684,1378,3142.0,1928.0,15336,26325,120381.0,86853.0,140,C,135.0,140.0,140.0,140.0,142.0,142.0,1,,0,1,0,0,0,7,280,1878.0,0.07561235356762513,0.0639269406392694
Pajama Set,4T,6400,39.0,2022-07-06,7,Hum Away With Me,Winter,Regular,Girl,Neutral,Pink,Hummingbird,Animals,212,127,304.0,153.0,7649,9422,39839.0,25903.0,100,A,56.0,81.0,85.0,88.0,88.0,89.0,0,409.69722222222214,1,0,1,0,0,3,100,3800.0,0.023421052631578947,0.04739336492890995
Romper,6 - 9 Months,6387,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,520,689,870.0,897.0,7649,9422,39839.0,25903.0,100,A,95.0,129.0,153.0,163.0,173.0,180.0,1,409.69722222222214,1,0,0,1,1,3,200,3800.0,0.04736842105263158,0.04739336492890995
Mom Pants,XL,6407,38.0,2022-07-06,7,Hum Away With Me,Summer,Regular,Girl,Adult Wear - Women,Pink,Hummingbird,Animals,89,46,104.0,53.0,7649,9422,39839.0,25903.0,50,A,34.0,44.0,47.0,49.0,49.0,49.0,0,409.69722222222214,1,0,0,0,0,3,50,3800.0,0.012894736842105263,0.023696682464454975
Romper,0 - 3 Months,6385,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,271,505,398.0,663.0,7649,9422,39839.0,25903.0,70,A,31.0,50.0,63.0,69.0,76.0,77.0,0,409.69722222222214,1,0,0,1,1,3,70,3800.0,0.02026315789473684,0.03317535545023697
Pajama Set,2T,6398,39.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,624,259,1055.0,330.0,7649,9422,39839.0,25903.0,120,A,89.0,108.0,117.0,123.0,126.0,130.0,0,409.69722222222214,1,0,1,1,1,3,120,3800.0,0.034210526315789476,0.05687203791469194
Mom Pants,M,6405,38.0,2022-07-06,7,Hum Away With Me,Spring,Regular,Girl,Adult Wear - Women,Pink,Hummingbird,Animals,128,62,148.0,62.0,7649,9422,39839.0,25903.0,80,A,54.0,66.0,70.0,73.0,75.0,77.0,0,409.69722222222214,1,0,0,0,0,3,80,3800.0,0.02026315789473684,0.037914691943127965
Romper,2T,6391,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,624,259,1055.0,330.0,7649,9422,39839.0,25903.0,60,A,90.0,106.0,114.0,117.0,123.0,128.0,1,409.69722222222214,1,0,1,1,1,3,120,3800.0,0.03368421052631579,0.02843601895734597
Romper,9 - 12 Months,6388,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,673,615,1167.0,798.0,7649,9422,39839.0,25903.0,100,A,119.0,165.0,188.0,199.0,205.0,211.0,1,409.69722222222214,1,0,0,1,1,3,200,3800.0,0.05552631578947369,0.04739336492890995
Footie,9 - 12 Months,6381,36.0,2022-07-06,7,Hum Away With Me,Winter,Regular,Girl,Neutral,Pink,Hummingbird,Animals,673,615,1167.0,798.0,7649,9422,39839.0,25903.0,120,A,139.0,205.0,229.0,249.0,260.0,283.0,1,409.69722222222214,1,0,0,1,1,3,240,3800.0,0.07447368421052632,0.05687203791469194
Footie,3 - 6 Months,6379,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,488,869,849.0,1165.0,7649,9422,39839.0,25903.0,120,A,168.0,270.0,314.0,314.0,313.0,313.0,1,409.69722222222214,1,0,0,1,1,3,240,3800.0,0.08236842105263158,0.05687203791469194
Footie,12 - 18 Months,6382,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,852,617,1571.0,876.0,7649,9422,39839.0,25903.0,100,A,154.0,216.0,242.0,259.0,277.0,296.0,1,409.69722222222214,1,0,0,1,1,3,200,3800.0,0.07789473684210527,0.04739336492890995
Romper,3 - 6 Months,6386,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,488,869,849.0,1165.0,7649,9422,39839.0,25903.0,100,A,76.0,105.0,123.0,138.0,144.0,153.0,0,409.69722222222214,1,0,0,1,1,3,100,3800.0,0.04026315789473684,0.04739336492890995
Pajama Set,7/8Y,6402,39.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,144,78,243.0,87.0,7649,9422,39839.0,25903.0,40,A,39.0,65.0,69.0,71.0,73.0,74.0,1,409.69722222222214,1,0,1,0,0,3,80,3800.0,0.019473684210526317,0.018957345971563982
Footie,6 - 9 Months,6380,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,520,689,870.0,897.0,7649,9422,39839.0,25903.0,120,A,126.0,228.0,261.0,283.0,301.0,315.0,1,409.69722222222214,1,0,0,1,1,3,240,3800.0,0.08289473684210526,0.05687203791469194
Footie,Newborn,6377,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,92,186,131.0,212.0,7649,9422,39839.0,25903.0,40,A,50.0,69.0,85.0,92.0,99.0,99.0,1,409.69722222222214,1,0,0,0,1,3,80,3800.0,0.02605263157894737,0.018957345971563982
Footie,2T,6384,36.0,2022-07-06,7,Hum Away With Me,Fall,Regular,Girl,Neutral,Pink,Hummingbird,Animals,624,259,1055.0,330.0,7649,9422,39839.0,25903.0,60,A,56.0,80.0,97.0,106.0,107.0,112.0,0,409.69722222222214,1,0,1,1,1,3,60,3800.0,0.029473684210526315,0.02843601895734597
Pajama Set,3T,6399,39.0,2022-07-06,7,Hum Away With Me,Winter,Regular,Girl,Neutral,Pink,Hummingbird,Animals,254,105,356.0,123.0,7649,9422,39839.0,25903.0,120,A,88.0,109.0,120.0,126.0,129.0,136.0,0,409.69722222222214,1,0,1,0,0,3,120,3800.0,0.035789473684210524,0.05687203791469194
